"OrdemFisica";"Sigla";"Letra";"NomeVisivel";"NomeTecnico";"HostId";"SelementId";"XAntes";"YAntes";"XDepois";"YDepois";"OcupanteAtualDoSlot";"AlterarPosicao"
"60";"QUI";"Q";"TEL-GTW-VHF_QUI_ControlOne";"TEL-GTW-VHF_QUI_ControlOne";"19970";"10455";"1701";"651";"1701";"651";"QUI";"False"
"61";"SDI";"S";"TEL-GTW-VHF_SDI_ControlOne";"TEL-GTW-VHF_SDI_ControlOne";"12203";"721";"101";"751";"101";"751";"SDI";"False"
"62";"SID";"S";"TEL-GTW-VHF_SID_ControlOne";"TEL-GTW-VHF_SID_ControlOne";"19971";"10456";"301";"751";"301";"751";"SID";"False"
"63";"SMA3";"S";"TEL-GTW-VHF_SMA3_ControlOne";"TEL-GTW-VHF_SMA3_ControlOne";"19972";"10457";"501";"751";"501";"751";"SMA3";"False"
"64";"SOS";"S";"TEL-GTW-VHF_SOS_ControlOne";"TEL-GTW-VHF_SOS_ControlOne";"12204";"722";"701";"751";"701";"751";"SOS";"False"
"65";"SPA2";"S";"TEL-GTW-VHF_SPA2_ControlOne";"TEL-GTW-VHF_SPA2_ControlOne";"12205";"723";"901";"751";"901";"751";"SPA2";"False"
"66";"SSA";"S";"TEL-GTW-VHF_SSA_ControlOne";"TEL-GTW-VHF_SSA_ControlOne";"12206";"724";"1101";"751";"1101";"751";"SSA";"False"
"67";"STA";"S";"TEL-GTW-VHF_STA_ControlOne";"TEL-GTW-VHF_STA_ControlOne";"12207";"725";"1301";"751";"1301";"751";"STA";"False"
"68";"TPR2";"T";"TEL-GTW-VHF_TPR2_ControlOne";"TEL-GTW-VHF_TPR2_ControlOne";"12208";"726";"1501";"751";"1501";"751";"TPR2";"False"
"69";"UHBC";"U";"TEL-GTW-VHF_UHBC_ControlOne";"TEL-GTW-VHF_UHBC_ControlOne";"12209";"727";"1701";"751";"1701";"751";"UHBC";"False"
"70";"UHJB";"U";"TEL-GTW-VHF_UHJB_ControlOne";"TEL-GTW-VHF_UHJB_ControlOne";"12210";"728";"101";"851";"101";"851";"UHJB";"False"
"71";"UHPJ";"U";"TEL-GTW-VHF_UHPJ_ControlOne";"TEL-GTW-VHF_UHPJ_ControlOne";"12211";"729";"301";"851";"301";"851";"UHPJ";"False"
"72";"UHSD";"U";"TEL-GTW-VHF_UHSD_ControlOne";"TEL-GTW-VHF_UHSD_ControlOne";"12212";"730";"501";"851";"501";"851";"UHSD";"False"
"73";"VMT";"V";"TEL-GTW-VHF_VMT_ControlOne";"TEL-GTW-VHF_VMT_ControlOne";"12213";"731";"701";"851";"701";"851";"VMT";"False"
"74";"XAN";"X";"TEL-GTW-VHF_XAN_ControlOne";"TEL-GTW-VHF_XAN_ControlOne";"12214";"732";"901";"851";"901";"851";"XAN";"False"
"75";"YTA";"Y";"TEL-GTW-VHF_YTA_ControlOne";"TEL-GTW-VHF_YTA_ControlOne";"12215";"733";"1101";"851";"1101";"851";"YTA";"False"
