"hostid";"host";"name"
"13871";"GAR1_HOTLINES";"GAR1_HOTLINES"
"15577";"GAR1_HOTLINES_eth1";"GAR1_HOTLINES_eth1"
"15578";"GAR1_HOTLINES_eth2";"GAR1_HOTLINES_eth2"
"13826";"GAR1_PRI";"GAR1_PRI"
"13941";"GAR1_SEC";"GAR1_SEC"
"18265";"GAR1-2L2CD1";"GAR1-2L2CD1"
"18267";"GAR1-2L2CP1";"GAR1-2L2CP1"
"18266";"GAR1-2L2PA";"GAR1-2L2PA"
"18268";"GAR1-2L2PP";"GAR1-2L2PP"
"10639";"gar1-rgr-20.139.125";"gar1-rgr-20.139.125"
"16779";"gar1-tmo";"gar1-tmo"
"14053";"GAR1-UCS1";"GAR1-UCS1"
"16256";"GAR1-UCS1-alta";"GAR1-UCS1-alta"
"14054";"GAR1-UCS2";"GAR1-UCS2"
"16257";"GAR1-UCS2-baixa";"GAR1-UCS2-baixa"
"14607";"GARRDP_230_1";"GARRDP_230_1"
"15693";"GAS2_5PMU1";"GAS2_5PMU1"
"14431";"GAS2_HL1";"GAS2_HL1"
"14432";"GAS2_HL2";"GAS2_HL2"
"13872";"GAS2_HOTLINES";"GAS2_HOTLINES"
"15579";"GAS2_HOTLINES_eth1";"GAS2_HOTLINES_eth1"
"15580";"GAS2_HOTLINES_eth2";"GAS2_HOTLINES_eth2"
"13639";"GAS2_PRI";"GAS2_PRI"
"13638";"GAS2_SEC";"GAS2_SEC"
"16560";"GAS2-230-DM705-01";"GAS2-230-DM705-01"
"16561";"GAS2-230-DM705-02";"GAS2-230-DM705-02"
"16520";"GAS2-230-DM880-01";"GAS2-230-DM880-01"
"16521";"GAS2-230-DM880-02";"GAS2-230-DM880-02"
"18271";"GAS2-2L01CD1";"GAS2-2L01CD1"
"18272";"GAS2-2L01CP1";"GAS2-2L01CP1"
"18269";"GAS2-2L01PA1";"GAS2-2L01PA1"
"18270";"GAS2-2L01PP1";"GAS2-2L01PP1"
"18279";"GAS2-2L02CD1";"GAS2-2L02CD1"
"18280";"GAS2-2L02CP1";"GAS2-2L02CP1"
"18277";"GAS2-2L02PA1";"GAS2-2L02PA1"
"18278";"GAS2-2L02PP1";"GAS2-2L02PP1"
"18301";"GAS2-2L03CD1";"GAS2-2L03CD1"
"18302";"GAS2-2L03CP1";"GAS2-2L03CP1"
"18299";"GAS2-2L03PA1";"GAS2-2L03PA1"
"18300";"GAS2-2L03PP1";"GAS2-2L03PP1"
"18283";"GAS2-2L04CD1";"GAS2-2L04CD1"
"18284";"GAS2-2L04CP1";"GAS2-2L04CP1"
"18281";"GAS2-2L04PA1";"GAS2-2L04PA1"
"18282";"GAS2-2L04PP1";"GAS2-2L04PP1"
"18297";"GAS2-2SACP1";"GAS2-2SACP1"
"16382";"GAS2-525-DM705-01";"GAS2-525-DM705-01"
"16383";"GAS2-525-DM705-02";"GAS2-525-DM705-02"
"16380";"GAS2-525-DM880-01";"GAS2-525-DM880-01"
"16381";"GAS2-525-DM880-02";"GAS2-525-DM880-02"
"18275";"GAS2-5LB1CD1";"GAS2-5LB1CD1"
"18276";"GAS2-5LB1CP1";"GAS2-5LB1CP1"
"18273";"GAS2-5LB1PA1";"GAS2-5LB1PA1"
"18274";"GAS2-5LB1PP1";"GAS2-5LB1PP1"
"18287";"GAS2-5LB2CD1";"GAS2-5LB2CD1"
