"Nome","Hostname","IP","Status","Grupo"
"mro2-rgr-40.161","mro2-rgr-40.161","172.19.40.161","Desabilitado",""
"cam3-rgr-20.154.125","cam3-rgr-20.154.125","172.20.154.125","Desabilitado",""
"spa2-rgr-40.169","spa2-rgr-40.169","172.19.40.169","Desabilitado",""
"mim-rgr-20.143.253","mim-rgr-20.143.253","172.19.32.170","Desabilitado",""
"gar1-rgr-20.139.125","gar1-rgr-20.139.125","172.20.139.125","Desabilitado",""
"cax6-rgr-20.136.125","cax6-rgr-20.136.125","172.20.136.125","Desabilitado",""
"npe2-rgr-20.138.125","npe2-rgr-20.138.125","172.20.138.125","Desabilitado",""
"itr-rgr-20.26.253","itr-rgr-20.26.253","172.20.26.253","Desabilitado",""
"apa-rgr-32.98","apa-rgr-32.98","172.19.32.98","Desabilitado",""
"cmo-rgr-32.54","cmo-rgr-32.54","172.19.32.54","Desabilitado",""
"cgr-rgr-32.221","cgr-rgr-32.221","172.19.32.221","Desabilitado",""
"iju2-rgr-8.34","iju2-rgr-8.34","172.19.8.34","Desabilitado",""
"uhsd-rgr-20.12.253","uhsd-rgr-20.12.253","172.20.12.253","Desabilitado",""
"atl2-rgr-87.123","atl2-rgr-87.123","172.16.87.123","Desabilitado",""
"fha-rgr-20.131.125","fha-rgr-20.131.125","172.20.131.125","Desabilitado",""
"SW3-RGR-UHPJ-72.254","SW3-RGR-UHPJ-72.254","10.240.72.254","Desabilitado",""
"dou-rgr-35.253","dou-rgr-35.253","10.240.35.253","Desabilitado",""
"mim-rgr-vsat-20.143.125","mim-rgr-vsat-20.143.125","172.20.143.125","Desabilitado",""
"uhbc-rgr-vsat-20.0.253","uhbc-rgr-vsat-20.0.253","172.20.0.253","Desabilitado",""
"ControlONE Sede","ControlONE Sede","10.8.0.150","Desabilitado",""
"FW-NSR-SEC","FW-NSR-SEC","172.31.89.21","Desabilitado",""
"FW-NSR-PRI","FW-NSR-PRI","172.30.89.21","Desabilitado",""
"FW-ARE-PRI","FW-ARE-PRI","172.30.33.21","Desabilitado",""
"FW-ARE-SEC","FW-ARE-SEC","172.31.33.21","Desabilitado",""
"FW-CNO-PRI","FW-CNO-PRI","172.30.64.21","Desabilitado",""
"FW-CNO-SEC","FW-CNO-SEC","172.31.64.21","Desabilitado",""
"FW-LON-PRI","FW-LON-PRI","172.30.32.21","Desabilitado",""
"FW-LON-SEC","FW-LON-SEC","172.31.32.21","Desabilitado",""
"FW-BIG-PRI","FW-BIG-PRI","172.30.29.21","Desabilitado",""
"FW-BIG-SEC","FW-BIG-SEC","172.31.29.21","Desabilitado",""
"FW-BLU-PRI","FW-BLU-PRI","172.30.65.21","Desabilitado",""
"FW-BLU-SEC","FW-BLU-SEC","172.31.65.21","Desabilitado",""
"zdb02agent2","zdb02agent2","10.0.41.197","Desabilitado",""
"zdb03agent2","zdb03agent2","10.0.41.190","Desabilitado",""
"SW3-RGR-SID-52.254","SW3-RGR-SID-52.254","10.240.52.254","Desabilitado",""
"SW3-RGR-SSA-54.254","SW3-RGR-SSA-54.254","10.240.54.254","Desabilitado",""
"sta-rgr-40.7","sta-rgr-40.7","172.19.40.7","Desabilitado",""
"SW3-RGR-STA-55.254","SW3-RGR-STA-55.254","10.240.55.254","Desabilitado",""
"SW3-RGR-XAN-58.254","SW3-RGR-XAN-58.254","10.240.58.254","Desabilitado",""
"servmf","servmf","10.0.40.197","Desabilitado",""
"SW_SAGE_BLU_RedeBaixa","172.16.71.46","172.16.71.46","Desabilitado",""
"SW_SAGE_BLU_RedeAlta","172.16.71.174","172.16.71.46","Desabilitado",""
"zpi-tlc","zpi-tlc","10.0.41.76","Desabilitado",""
"zpc","zpc","10.0.41.66","Desabilitado",""
"BIGRDP_230_3","BIGRDP_230_3","172.20.132.98","Desabilitado",""
"CNORDP_525_1","CNORDP_525_1","10.240.32.20","Desabilitado",""
"zs02","zs02","10.0.41.60","Desabilitado",""
"zpi-rgr","zpi-rgr","10.0.41.77","Desabilitado",""
"sed-ons-94.184","sed-ons-94.184","172.16.94.184","Desabilitado",""
"sed-rm-94.185","sed-rm-94.185","172.16.94.185","Desabilitado",""
"ons-gw1-96.149","ons-gw1-96.149","172.16.96.149","Desabilitado",""
"ons-gw2-96.150","ons-gw2-96.150","172.16.96.150","Desabilitado",""
"sed-fs-96.254","sed-fs-96.254","172.16.96.254","Desabilitado",""
