"Nome";"IP";"Grupo"
"EDD-CEEE-01";"10.27.28.6";"Discovered hosts"
"EDD-CEEE-02";"10.27.28.5";"Discovered hosts"
"EDD-FAR";"10.36.99.3";"Discovered hosts"
"EDD-PIY";"10.13.42.19";"Discovered hosts"
"EDD-PVA";"10.13.42.18";"Discovered hosts"
"EDD-LND";"10.13.42.17";"Discovered hosts"
"EDD-ROS";"10.13.42.16";"Discovered hosts"
"EDD-NAN";"10.13.42.15";"Discovered hosts"
"EDD-IVI";"10.13.42.13";"Discovered hosts"
"EDD-IVI2";"10.6.20.10";"Discovered hosts"
"EDD-SMS";"10.19.61.3";"Discovered hosts"
"EDD-CAN";"10.19.61.4";"Discovered hosts"
"EDD-DOM";"10.6.42.113";"Discovered hosts"
"EDD-DOS";"10.6.42.111";"Discovered hosts"
"EDD-DOU-2";"10.6.42.110";"Discovered hosts"
"RET-LVH";"10.13.36.12";"Corporativa"
"GUA_SEC";"172.31.120.1";"Discovered hosts"
"CVO_SEC";"172.20.207.252";"Discovered hosts"
"cose-sw1-94.46";"172.16.94.46";"Industrial"
"SBC_BIG";"10.6.29.39";"Corporativa"
"SBC_SEDE";"10.6.1.39";"Corporativa"
"BIGRDP_230_4";"172.20.132.97";"RDPs"
"BIGRDP_525_2";"172.20.132.91";"RDPs"
"CNORDP_525_2";"10.240.32.2";"RDPs"
"MRO2_SEC";"172.31.50.1";"Discovered hosts"
"MRO2_PRI";"172.30.50.1";"Discovered hosts"
"SPA2_PRI";"172.30.46.1";"Discovered hosts"
"SPA2_SEC";"172.31.46.1";"Discovered hosts"
"MBR3_SEC";"172.31.119.1";"Discovered hosts"
"MBR_SEC";"172.31.126.1";"Discovered hosts"
"MBR3_PRI";"172.30.119.1";"Discovered hosts"
"MBR_PRI";"172.30.126.1";"Discovered hosts"
"GUA_PRI";"172.30.120.1";"Discovered hosts"
"SMA3_SEC";"172.31.95.1";"Discovered hosts"
"SMA3_PRI";"172.30.95.1";"Discovered hosts"
"gua-rgr-20.208.125";"172.20.208.125";"Industrial"
"cvo-rgr-20.207.125";"172.20.207.125";"Discovered hosts"
"mbr-rgr-20.187.125";"172.20.187.125";"Discovered hosts"
"mbr3-rgr-20.219.125";"172.20.219.125";"Discovered hosts"
"irn-rgr-20.198.125";"172.20.198.125";"Discovered hosts"
"sma3-rgr-20.190.253";"172.20.190.253";"Discovered hosts"
"SW3-TDM-BLU";"10.6.65.1";"SW-Extreme"
"SW3-TDM-DOU";"10.6.42.1";"SW-Extreme"
"SW3-TDM-CBA";"10.6.19.1";"SW-Extreme"
"SW3-TDM-CGR";"10.6.16.1";"SW-Extreme"
"SW3-TDM-IVP";"10.6.37.1";"SW-Extreme"
"SW3-TDM-LON";"10.6.32.1";"SW-Extreme"
"SW3-TDM-CMO";"10.6.62.1";"SW-Extreme"
"SW3-TDM-SED-CPD02";"10.6.4.20";"SW-Extreme"
"SW3-TDM-SED-CPD01";"10.6.4.10";"SW-Extreme"
"SW3-TDM-DRO";"10.6.30.10";"SW-Extreme"
"SW3-TDM-CNO";"10.6.64.1";"SW-Extreme"
"SW3-TDM-GRA";"10.6.27.1";"SW-Extreme"
"SW3-TDM-CAX";"10.6.70.1";"SW-Extreme"
"SW3-TDM-XAN";"10.6.35.1";"SW-Extreme"
"SW3-TDM-IJU2-CLI";"10.6.59.1";"SW-Extreme"
"SW3-TDM-PFU-CLI";"10.6.77.2";"SW-Extreme"
"SW3-TDM-STA-CLI";"10.6.66.2";"SW-Extreme"
"SW3-TDM-NSR";"10.6.89.1";"SW-Extreme"
"SW3-TDM-SCR1";"10.6.25.1";"SW-Extreme"
"SW3-TDM-SMA";"10.6.102.1";"SW-Extreme"
"SW3-TDM-RRS";"10.6.100.1";"SW-Extreme"
"SW3-TDM-ALE";"10.6.78.1";"SW-Extreme"
